	sel title	artist	top genre	year	added	bpm	nrgy	dnce	dB	live	val	dur	acous	spch	pop	mellow	unpretenious	sophisticated	intense	contemperory
54	"55  Tip Tip (From ""Sooryavanshi"")"	Tanishk Bagchi	desi pop	2021	2023‑04‑13	49.27536231884058	93	65.75342465753425	91.30434782608695	11.956521739130435	48.958333333333336	250	4.040404040404041	6	70	-41.1178130320477	-19.77933312427431	70.30056671539698	92.51268379145836	10.072035309918723
55	"56  Mann Bharryaa 2.0 (From ""Shershaah"")"	B Praak	desi pop	2021	2023‑04‑13	43.47826086956522	47	27.397260273972602	78.26086956521739	13.043478260869565	18.75	266	68.68686868686869	3	70	-43.644572587097905	-38.53760618393585	56.343999855613916	83.25574009902478	8.266422037528352
56	57  In The Bible (with Lil Durk & Giveon)	Drake	canadian hip hop	2021	2023‑04‑13	68.59903381642512	39	63.013698630136986	65.21739130434783	11.956521739130435	14.583333333333334	297	61.61616161616162	30	69	-55.58379055594661	-31.448881684624688	66.7251039279032	103.8385590569182	16.64406460375043
57	58  Ma Belle	AP Dhillon	desi pop	2021	2023‑04‑13	46.3768115942029	31	93.15068493150685	56.52173913043478	5.434782608695652	23.958333333333332	161	4.040404040404041	12	69	-40.602526154938296	-15.006799870353323	69.06749147219666	91.68371813729914	16.769424628957836
58	"59  Najaa (From ""Sooryavanshi"")"	Tanishk Bagchi	desi pop	2021	2023‑04‑13	44.927536231884055	73	76.71232876712328	78.26086956521739	6.521739130434782	71.875	191	8.080808080808081	5	69	-19.907504166140246	-13.756359567984795	82.63250130849893	71.99217570282936	10.10119415567227
59	60  Invincible (feat. Stefflon Don)	Sidhu Moose Wala	desi hip hop	2021	2023‑04‑13	51.690821256038646	67	73.97260273972603	82.6086956521739	9.782608695652174	31.25	244	28.282828282828284	6	68	-47.43902846210767	-27.019095436196388	74.22414436202406	101.30504042810476	13.958769123636607
60	61  Bitch I'm Back	Sidhu Moose Wala	desi hip hop	2021	2023‑04‑13	71.98067632850241	77	65.75342465753425	82.6086956521739	90.21739130434783	81.25	230	20.2020202020202	10	68	-65.46794478435336	-50.25486287833667	64.32779552523448	131.27939986523964	16.796247540924437
61	62  Balam Pichkari	Pritam	desi pop	2013	2023‑04‑13	57.48792270531401	94	68.4931506849315	82.6086956521739	41.30434782608695	98.95833333333333	289	21.21212121212121	9	68	-26.581128437441706	-27.92325898201791	83.52490960829256	84.88523298800993	10.990357904536731
62	63  Jug Jug Jeeve	Sachet Tandon	desi pop	2021	2023‑04‑13	42.99516908212561	63	45.205479452054796	65.21739130434783	10.869565217391305	71.875	199	41.41414141414141	6	68	-11.031122722159049	-19.744712423520493	71.5908760024305	51.94995480414629	6.662904168245889
63	64  Lover	Diljit Dosanjh	desi pop	2021	2023‑04‑13	57.48792270531401	59	82.1917808219178	73.91304347826087	5.434782608695652	79.16666666666667	190	20.2020202020202	11	68	-19.05877265808772	-12.60746611438988	89.69229820540124	72.99542626984555	12.055442001913113
64	65  Sakhiyan2.0	Maninder Buttar	desi hip hop	2021	2023‑04‑13	47.82608695652174	72	80.82191780821918	78.26086956521739	20.652173913043477	40.625	178	18.181818181818183	5	68	-45.2421896150306	-28.17215503005036	74.52929232768423	101.90041759164004	14.753683537278686
65	"66  Humraah (From ""Malang - Unleash The Madness"")"	Sachet Tandon	desi pop	2020	2023‑04‑13	74.8792270531401	85	32.87671232876713	82.6086956521739	11.956521739130435	28.125	300	18.181818181818183	6	67	-56.166284645141104	-15.778013345185023	46.311570138550486	93.29253260719165	8.816162856979565
