sel title	artist	top genre	year	added	bpm	nrgy	dnce	dB	live	val	dur	acous	spch	pop
160 Knock On Wood	Red Velvet	k-pop	2021	2023‑04‑13	106	87	53	-3	16	79	221	21	18	49
161 When Dawn Comes Again (feat. BAEKHYUN)	Colde	korean r&b	2021	2023‑04‑13	168	46	58	-6	11	31	240	46	4	49
162 Wake Up (Prod. CODE KUNST)	Gaeko	k-rap	2021	2023‑04‑13	138	87	78	-3	14	56	371	22	22	49
163 Jam Jam	SEVENTEEN	k-pop	2015	2023‑04‑13	105	92	89	-4	31	72	205	4	21	48
164 Best Friend (with SEULGI)	WENDY	k-pop	2021	2023‑04‑13	116	58	48	-4	20	35	211	61	4	47
165 Butter - Cooler Remix	BTS	k-pop	2021	2023‑04‑13	110	81	65	-4	32	89	162	1	13	46
166 Foolish Love	M.O.M		2021	2023‑04‑13	118	90	60	-2	16	53	212	55	4	46
167 OHAYO MY NIGHT	D-Hack	korean underground rap	2020	2023‑04‑13	190	76	46	-4	9	74	239	66	17	46
168 BREATHE (Feat. MINO) (Prod. GRAY)	Anandelight	k-rap	2021	2023‑04‑13	120	83	76	-3	12	86	328	9	7	45
169 Meeting is easy, parting is hard (Feat. Leellamarz) (Prod. TOIL)	Basick	k-rap	2021	2023‑04‑13	154	79	55	-5	35	34	231	5	10	45
170 Tictoc Tictoc Tictoc (with Beenzino)	AKMU	k-pop	2021	2023‑04‑13	112	53	95	-8	8	79	237	18	4	44
171 MBTI (Feat. Coogie & Loco) (Prod. GRAY)	BE'O	k-rap	2021	2023‑04‑13	148	86	66	-2	11	70	249	30	6	44
172 Heart Attack	SHINee	k-pop	2021	2023‑04‑13	110	81	65	-4	9	76	179	1	5	43
173 EVEREST (with Sam Kim)	AKMU	k-pop	2021	2023‑04‑13	108	47	76	-9	10	76	196	35	5	43
174 Butter - Instrumental	BTS	k-pop	2021	2023‑04‑13	110	39	43	-7	14	41	162	0	8	42
175 Dissonance (Feat. AKMU) (Prod. GRAY)	Mudd the student	k-pop	2021	2023‑04‑13	100	56	74	-2	37	70	274	2	6	42
176 My Universe - Instrumental	Coldplay	permanent wave	2021	2023‑04‑13	105	59	62	-8	14	18	228	0	4	41
177 Reset (Feat. Gaeko, Kid Milli) (Prod. CODE KUNST)	SINCE	k-rap	2021	2023‑04‑13	88	72	49	-5	12	65	258	5	32	41
178 Permission to Dance - Instrumental	BTS	k-pop	2021	2023‑04‑13	125	66	75	-7	7	41	188	0	5	40
179 MOSS (Feat. MINO, BOBBY) (Prod. MINO)	Mudd the student	k-pop	2021	2023‑04‑13	75	74	72	-6	6	45	245	5	31	39
180 BENCH (with Zion.T)	AKMU	k-pop	2021	2023‑04‑13	108	55	74	-7	30	60	225	13	4	38
181 Hyperstar	CHANGMO	k-rap	2021	2023‑04‑13	137	72	61	-4	19	54	199	6	3	37
182 High (Feat. LeeHi) (Prod. GRAY)	Anandelight	k-pop	2021	2023‑04‑13	94	72	70	-5	12	79	230	40	5	37
183 TROUBLE (Prod. Slom)	Don Mills	k-rap	2021	2023‑04‑13	96	59	82	-7	13	42	285	12	10	37
184 Memories of You and Me	YUMDDA	k-rap	2021	2023‑04‑13	83	91	71	-3	9	75	319	25	8	36
185 FACE TIME (Feat. GIRIBOY, pH-1, Gaeko) (Prod. CODE KUNST)	SINCE	k-rap	2021	2023‑04‑13	150	84	73	-4	8	65	251	6	35	35
186 Next episode (with Choi Jung Hoon of JANNABI)	AKMU	k-pop	2021	2023‑04‑13	130	44	46	-8	10	18	192	62	4	34
187 gganbu (Feat. YUMDDA, ASH ISLAND) (Prod. TOIL)	KOONTA	k-rap	2021	2023‑04‑13	150	67	70	-5	13	70	247	31	9	34
188 BE ! (Feat. Paloalto, lIlBOI) (Prod. PEEJAY & Slom)	sokodomo	k-rap	2021	2023‑04‑13	95	76	73	-7	18	91	256	19	26	33
189 Waterbomb (Feat. Gaeko, Nucksal) (Prod. CODE KUNST)	Gwangil Jo	k-rap	2021	2023‑04‑13	110	81	78	-4	14	67	280	7	29	33
190 Thorn (Prod. CODE KUNST)	Gwangil Jo	k-rap	2021	2023‑04‑13	170	80	56	-5	12	36	279	9	37	32
191 Kleenex	The Black Skirts	k-indie	2021	2023‑04‑13	109	30	65	-13	8	34	116	85	4	31
192 To the Moon (Feat. UNEDUCATED KID)	YUMDDA	k-rap	2021	2023‑04‑13	140	83	74	-5	14	89	197	4	4	31
193 08Basick (Feat. Yumdda, punchnello)	Basick	k-rap	2021	2023‑04‑13	112	79	76	-5	32	32	250	15	6	31
194 Hopefully (Feat. Jung In) (Prod. TOIL)	KOONTA	k-rap	2021	2023‑04‑13	160	89	53	-4	9	57	266	21	11	30
195 Press F5 (Feat. GRAY)	Geegooin	k-rap	2021	2023‑04‑13	157	80	73	-2	13	85	214	8	7	29
196 wot wot (Feat. Queen WA$ABII) (Prod. TOIL)	365LIT	k-rap	2021	2023‑04‑13	80	80	84	-5	35	92	187	32	34	25
197 CHAMELEON (Feat. SUMIN, Dbo) (Prod. SUMIN)	Don Mills	k-rap	2021	2023‑04‑13	158	66	78	-7	7	83	237	12	11	24
198 Lemonade - Track Video Version	NCT 127	k-pop	2021	2023‑04‑13	90	87	82	-2	11	76	114	2	7	0
